### field name, field weight normalized to be unity, sky area [unit:sq.deg.]
GAMA09H	  2.31465E-01  36.6750
GAMA15H   2.36331E-01  31.7520
VVDS      1.45383E-01  20.7000
WIDE12H   1.02239E-01  13.2480
XMM       1.99748E-01  28.2240
HECTOMAP  8.48335E-02  11.6640
